lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
cornichon@NOUN,205,NOUN,cornichon,3.9043569746039804e-07,3.0,substantif,1547.0,473.0
concomitamment@ADV,378,ADV,concomitamment,7.199253348294169e-07,1.0,adverbe,1874.0,146.0
physiocrate@NOUN,255,NOUN,physiocrate,4.85663916353178e-07,1.0,substantif,1768.0,252.0
contrecoup@NOUN,357,NOUN,contrecoup,6.799294828944493e-07,3.0,substantif,1561.0,459.0
sudiste@NOUN,809,NOUN,sudiste,1.5407925816851806e-06,3.0,substantif,1865.0,155.0
califat@NOUN,625,NOUN,califat,1.1903527361597501e-06,3.0,substantif,1560.0,460.0
collégien@ADJ,133,ADJ,collégien,2.5330706225479484e-07,1.0,adjectif,1743.0,277.0
sabreur@NOUN,102,NOUN,sabreur,1.9426556654127122e-07,3.0,substantif,1790.0,230.0
stoppe@VERB,569,VERB,stoppe,1.0836971309998365e-06,1.0,verbe,1841.0,179.0
jacobus@NOUN,417,NOUN,jacobus,7.942033455657853e-07,1.0,substantif,1622.0,398.0
galiléen@ADJ,344,ADJ,galiléen,6.551701459823265e-07,1.0,adjectif,1929.0,91.0
neutrino@NOUN,913,NOUN,neutrino,1.738867276982163e-06,1.0,substantif,1935.0,85.0
cataloguer@VERB,891,VERB,cataloguer,1.69696686066934e-06,2.0,verbe,1902.0,118.0
antipathique@ADJ,207,ADJ,antipathique,3.9424482621610923e-07,1.0,adjectif,1568.0,452.0
pompier@ADJ,147,ADJ,pompier,2.7997096354477325e-07,6.0,adjectif,1877.0,143.0
indexation@NOUN,619,NOUN,indexation,1.1789253498926167e-06,2.0,substantif,1948.0,72.0
monophysite@NOUN,402,NOUN,monophysite,7.656348798979513e-07,1.0,substantif,1694.0,326.0
hydrométrique@ADJ,360,ADJ,hydrométrique,6.856431760280161e-07,1.0,adjectif,1771.0,249.0
triplement@NOUN,136,NOUN,triplement,2.5902075538836163e-07,2.0,substantif,1515.0,505.0
diffracter@VERB,109,VERB,diffracter,2.0759751718626043e-07,1.0,verbe,1838.0,182.0
bathyscaphe@NOUN,104,NOUN,bathyscaphe,1.9807469529698244e-07,1.0,substantif,1946.0,74.0
particularisme@NOUN,542,NOUN,particularisme,1.0322738927977354e-06,3.0,substantif,1689.0,331.0
bizarrerie@NOUN,260,NOUN,bizarrerie,4.951867382424561e-07,2.0,substantif,1555.0,465.0
edelweiss@NOUN,107,NOUN,edelweiss,2.0378838843054923e-07,1.0,substantif,1785.0,235.0
lotus@NOUN,792,NOUN,lotus,1.5084149872616354e-06,3.0,substantif,1550.0,470.0
émaillage@NOUN,101,NOUN,émaillage,1.9236100216341562e-07,1.0,substantif,1870.0,150.0
grippal@ADJ,276,ADJ,grippal,5.256597682881456e-07,1.0,adjectif,1871.0,149.0
piranha@NOUN,233,NOUN,piranha,4.4376350004035486e-07,1.0,substantif,1817.0,203.0
dulcinée@NOUN,122,NOUN,dulcinée,2.3235685409838324e-07,1.0,substantif,1718.0,302.0
